epoch,learning_rate,step,train_loss,val_auc,val_loss
0,,1028,,0.607657253742218,0.1104556992650032
0,0.000999992247670889,1028,0.16217419505119324,,
1,,2057,,0.5996717810630798,0.09726287424564362
1,0.0008999865967780352,2057,0.15926581621170044,,
2,,3086,,0.6231659054756165,0.09674414247274399
2,0.0008100094273686409,3086,0.15535958111286163,,
3,,4115,,0.644544243812561,0.09328651428222656
3,0.0007290056091733277,4115,0.15381772816181183,,
4,,5144,,0.6571103930473328,0.09442497789859772
4,0.0006561059271916747,5144,0.15328261256217957,,
5,,6173,,0.6423274278640747,0.09615831077098846
5,0.0005904972204007208,6173,0.15283921360969543,,
6,,7202,,0.6568899154663086,0.09338299185037613
6,0.0005314366426318884,7202,0.15250910818576813,,
7,,8231,,0.6515897512435913,0.0952032059431076
7,0.0004782974428962916,8231,0.15250061452388763,,
8,,9260,,0.65642911195755,0.09292647242546082
8,0.00043046518112532794,9260,0.15209028124809265,,
9,,10289,,0.6710789203643799,0.09164733439683914
9,0.0003874227113556117,10289,0.1517084687948227,,
