epoch,learning_rate,step,train_loss,val_auc,val_loss
0,,1028,,0.707428514957428,0.09565763175487518
0,0.000999992247670889,1028,0.15692590177059174,,
1,,2057,,0.7043666243553162,0.10286273062229156
1,0.0008999865967780352,2057,0.15100380778312683,,
2,,3086,,0.7030040621757507,0.09483271837234497
2,0.0008100094273686409,3086,0.14937683939933777,,
3,,4115,,0.7026152014732361,0.09907440841197968
3,0.0007290055509656668,4115,0.14799346029758453,,
4,,5144,,0.7040451169013977,0.09136159718036652
4,0.0006561059271916747,5144,0.1472340226173401,,
5,,6173,,0.7150405049324036,0.1038309782743454
5,0.0005904971621930599,6173,0.14657239615917206,,
6,,7202,,0.7146914005279541,0.09593255817890167
6,0.0005314366426318884,7202,0.1456335186958313,,
7,,8231,,0.7010138034820557,0.09288918226957321
7,0.0004782974428962916,8231,0.14491046965122223,,
8,,9260,,0.7022446990013123,0.09750039875507355
8,0.00043046518112532794,9260,0.1447078436613083,,
9,,10289,,0.7010260224342346,0.09668402373790741
9,0.0003874227113556117,10289,0.14376166462898254,,
